path,size_bytes,mtime,last_commit,inbound_refs
.env.example,1320,2026-09-07,2026-09-07,6
.eslintrc.js,3690,2026-08-05,2026-08-05,0
.github/workflows/ci.yml,6718,2026-09-07,2026-09-07,53
.gitignore,1387,2026-09-07,2026-09-07,76
.husky/pre-commit,138,2026-09-06,2026-09-06,0
.husky/pre-push,50,2026-09-06,2026-09-06,0
.prettierignore,133,2026-03-02,2025-11-24,76
.prettierrc,374,2026-03-02,2025-11-24,76
AUDIT.md,32439,2026-09-09,2026-09-09,0
CHANGELOG.md,17783,2026-09-07,2026-09-07,0
CLAUDE.md,14228,2026-09-09,2026-09-09,0
CONTRIBUTING.md,5906,2026-09-06,2026-09-06,0
LICENSE,1074,2026-03-02,2026-01-07,0
README.md,14622,2026-09-07,2026-09-07,1
USER_MANUAL.md,20312,2026-09-09,2026-09-09,0
data.json.example,1064,2026-09-06,2026-09-06,9
esbuild.config.mjs,2750,2026-03-02,2025-12-07,0
extension/PUBLISH.md,6928,2026-09-07,2026-09-07,0
extension/chrome-extension/PRIVACY.md,2131,2026-09-06,2026-09-06,1
extension/chrome-extension/background.js,1044,2026-09-06,2026-09-06,6
extension/chrome-extension/content_script.js,14750,2026-09-07,2026-09-07,2
extension/chrome-extension/icons/icon.svg,229,2026-05-29,2026-05-29,9
extension/chrome-extension/icons/icon128.png,1521,2026-05-29,2026-05-29,2
extension/chrome-extension/icons/icon16.png,309,2026-05-29,2026-05-29,1
extension/chrome-extension/icons/icon48.png,686,2026-05-29,2026-05-29,1
extension/chrome-extension/manifest.json,1056,2026-09-06,2026-09-06,9
extension/chrome-extension/options.html,2691,2026-09-07,2026-09-07,22
jest.config.js,2537,2026-09-07,2026-09-07,0
manifest.json,305,2026-09-07,2026-09-07,10
package-lock.json,298225,2026-09-07,2026-09-07,0
package.json,1994,2026-09-07,2026-09-07,3
scripts/package-extension.sh,765,2026-08-05,2026-08-05,0
src/ai/api.ts,9740,2026-09-09,2026-09-09,26
src/ai/base.ts,8745,2026-09-09,2026-09-09,35
src/ai/error-utils.ts,7046,2026-09-09,2026-09-09,5
src/ai/gemini.ts,11678,2026-09-09,2026-09-09,20
src/ai/groq.ts,3632,2026-09-07,2026-09-07,15
src/ai/huggingface.ts,9661,2026-09-09,2026-09-09,4
src/ai/ollama-cloud.ts,617,2026-05-05,2026-05-04,3
src/ai/ollama.ts,12297,2026-09-09,2026-09-09,15
src/ai/openrouter.ts,5871,2026-09-07,2026-09-07,7
src/components/common/base-modal.ts,7093,2026-09-07,2026-09-07,4
src/components/common/confirmation-modal.ts,4863,2026-09-07,2026-09-07,3
src/components/common/file-conflict-modal.ts,1822,2026-05-05,2026-05-04,2
src/components/common/index.ts,143,2026-05-05,2026-05-04,32
